veh_inc,p_DistLrg,a_DistLrg,total_trips
HBW_0veh_hi,9,9,64.44814
HBW_0veh_hi,9,12,326.9112336
HBW_0veh_hi,9,14,257.79256
HBW_0veh_hi,12,11,46.72048016
HBW_0veh_hi,12,12,371.6794748
HBW_0veh_hi,12,14,241.5178638
HBW_0veh_hi,12,17,45.3759824
HBW_0veh_hi,13,9,11.04801433
HBW_0veh_hi,13,12,93.11708565
HBW_0veh_hi,13,13,459.83901834
HBW_0veh_hi,13,14,131.360728074
HBW_0veh_hi,14,12,120.01278256
HBW_0veh_hi,14,13,112.98166535
HBW_0veh_hi,14,14,1556.2816414220001
HBW_0veh_hi,14,17,12.431942
HBW_0veh_hi,14,21,12.431942
HBW_0veh_hi,14,22,6.215971
HBW_0veh_hi,16,12,47.64510668
HBW_0veh_hi,16,16,1143.4021096000001
HBW_0veh_hi,17,17,166.6180908
HBW_0veh_hi,21,20,24.321762
HBW_0veh_hi,21,21,791.8579431200001
HBW_0veh_hi,24,22,260.00646
HBW_0veh_lo,1,4,125.3887642
HBW_0veh_lo,4,4,545.1873618
HBW_0veh_lo,5,4,234.638635
HBW_0veh_lo,5,5,411.26851651799996
HBW_0veh_lo,8,8,2047.8015
HBW_0veh_lo,9,9,513.813474
HBW_0veh_lo,9,12,258.931696
HBW_0veh_lo,9,13,202.860872
HBW_0veh_lo,11,11,133.3302352
HBW_0veh_lo,12,11,942.8601679999999
HBW_0veh_lo,12,12,780.11790612
HBW_0veh_lo,12,13,35.72937333
HBW_0veh_lo,12,14,1099.27046664
HBW_0veh_lo,13,12,604.89546564
HBW_0veh_lo,13,13,497.1147241
HBW_0veh_lo,13,14,907.305904638
HBW_0veh_lo,14,12,397.1336225
HBW_0veh_lo,14,13,672.77747629
HBW_0veh_lo,14,14,1233.030217718
HBW_0veh_lo,14,16,31.202385332
HBW_0veh_lo,14,17,22.462995999
HBW_0veh_lo,15,16,842.503168
HBW_0veh_lo,16,14,736.8022768
HBW_0veh_lo,16,16,1024.1969933999999
HBW_0veh_lo,17,12,77.50780656
HBW_0veh_lo,17,16,337.1663848
HBW_0veh_lo,17,17,39.852053999999995
HBW_0veh_lo,20,20,533.6711854
HBW_0veh_lo,21,20,788.5462232
HBW_0veh_lo,21,21,1344.830986097
HBW_0veh_lo,22,21,3.183193333
HBW_0veh_lo,22,22,233.466705598
HBW_1veh_hi,1,1,525.2700619999999
HBW_1veh_hi,1,4,145.56335192999998
HBW_1veh_hi,1,5,11.26765833
HBW_1veh_hi,1,8,70.41815264
HBW_1veh_hi,4,4,3559.25551599
HBW_1veh_hi,4,5,1019.42780113
HBW_1veh_hi,4,8,679.61504794
HBW_1veh_hi,4,9,45.8083008
HBW_1veh_hi,4,11,133.58023002000002
HBW_1veh_hi,4,12,67.99290501
HBW_1veh_hi,4,13,603.05519867
HBW_1veh_hi,4,20,35.57185667
HBW_1veh_hi,4,22,43.98971667
HBW_1veh_hi,5,4,6800.94584853
HBW_1veh_hi,5,5,3686.778036221
HBW_1veh_hi,5,8,609.24824585
HBW_1veh_hi,5,9,135.8216508
