segment,vehown,income,pTAZID,aTAZID,p_DISTLRG,a_DISTLRG,trip_weight_12,trip_weight_23
0veh_hi,0,hi,2877.0,2980.0,21.0,21.0,0.0,110.4532928
0veh_hi,0,hi,2969.0,2646.0,21.0,20.0,0.0,24.321762
0veh_hi,0,hi,2971.0,2962.0,21.0,21.0,0.0,463.42952
0veh_hi,0,hi,2987.0,2962.0,21.0,21.0,0.0,87.38802544
0veh_hi,0,hi,2998.0,2997.0,21.0,21.0,0.0,89.17413488
0veh_hi,0,hi,3001.0,2998.0,21.0,21.0,0.0,41.41297
0veh_hi,0,hi,3001.0,2999.0,21.0,21.0,0.0,0.0
0veh_hi,0,hi,3556.0,3155.0,24.0,22.0,0.0,260.00646
0veh_lo,0,lo,40.0,315.0,1.0,4.0,0.0,125.3887642
0veh_lo,0,lo,271.0,231.0,4.0,4.0,0.0,349.6718964
0veh_lo,0,lo,377.0,377.0,5.0,5.0,850.0,0.0
0veh_lo,0,lo,378.0,329.0,5.0,4.0,0.0,124.5662694
0veh_lo,0,lo,386.0,292.0,4.0,4.0,0.0,195.5154654
0veh_lo,0,lo,390.0,390.0,5.0,5.0,0.0,0.0
0veh_lo,0,lo,390.0,392.0,5.0,5.0,0.0,36.22106667
0veh_lo,0,lo,390.0,398.0,5.0,5.0,0.0,72.44213334
0veh_lo,0,lo,390.0,542.0,5.0,5.0,0.0,43.57564576
0veh_lo,0,lo,395.0,353.0,5.0,5.0,0.0,39.56173008
0veh_lo,0,lo,395.0,434.0,5.0,5.0,0.0,0.0
0veh_lo,0,lo,395.0,553.0,5.0,5.0,0.0,7.606357667
0veh_lo,0,lo,396.0,231.0,5.0,4.0,0.0,110.0723656
0veh_lo,0,lo,397.0,434.0,5.0,5.0,0.0,0.0
0veh_lo,0,lo,397.0,553.0,5.0,5.0,0.0,22.819073001
0veh_lo,0,lo,427.0,276.0,5.0,4.0,0.0,0.0
0veh_lo,0,lo,427.0,412.0,5.0,5.0,0.0,113.42550599999998
0veh_lo,0,lo,427.0,428.0,5.0,5.0,0.0,37.808502
0veh_lo,0,lo,427.0,429.0,5.0,5.0,0.0,37.808502
0veh_lo,0,lo,664.0,710.0,8.0,8.0,0.0,0.0
0veh_lo,0,lo,704.0,704.0,8.0,8.0,0.0,819.1206
0veh_lo,0,lo,704.0,711.0,8.0,8.0,0.0,819.1206
0veh_lo,0,lo,704.0,720.0,8.0,8.0,0.0,409.5603
0veh_lo,0,lo,705.0,310.0,8.0,4.0,678.1589524,0.0
0veh_lo,0,lo,840.0,845.0,9.0,9.0,0.0,513.813474
0veh_lo,0,lo,856.0,951.0,9.0,12.0,0.0,258.931696
0veh_lo,0,lo,873.0,1030.0,9.0,13.0,0.0,202.860872
0veh_lo,0,lo,907.0,1303.0,11.0,11.0,0.0,133.3302352
0veh_lo,0,lo,962.0,1179.0,12.0,12.0,0.0,231.8496582
0veh_lo,0,lo,965.0,1173.0,12.0,12.0,0.0,112.3378452
0veh_lo,0,lo,984.0,965.0,12.0,12.0,0.0,132.25092272
0veh_lo,0,lo,986.0,977.0,12.0,11.0,0.0,139.14208
0veh_lo,0,lo,989.0,978.0,12.0,11.0,0.0,803.718088
0veh_lo,0,lo,997.0,994.0,14.0,14.0,276.3986483,0.0
0veh_lo,0,lo,1003.0,1045.0,14.0,14.0,0.0,0.0
0veh_lo,0,lo,1003.0,1046.0,14.0,14.0,0.0,132.07536
0veh_lo,0,lo,1025.0,1007.0,13.0,14.0,0.0,223.32811
0veh_lo,0,lo,1025.0,1051.0,13.0,14.0,0.0,223.32811
0veh_lo,0,lo,1039.0,1034.0,13.0,13.0,0.0,0.0
0veh_lo,0,lo,1039.0,1043.0,13.0,14.0,0.0,0.0
0veh_lo,0,lo,1039.0,1081.0,13.0,13.0,0.0,0.0
0veh_lo,0,lo,1040.0,1068.0,13.0,13.0,0.0,17.28270067
0veh_lo,0,lo,1043.0,1102.0,14.0,14.0,0.0,0.0
0veh_lo,0,lo,1046.0,1077.0,14.0,13.0,0.0,0.0
0veh_lo,0,lo,1046.0,1080.0,14.0,13.0,0.0,0.0
0veh_lo,0,lo,1048.0,1048.0,14.0,14.0,387.9205421,0.0
0veh_lo,0,lo,1060.0,1094.0,12.0,14.0,0.0,57.67619064
0veh_lo,0,lo,1065.0,1213.0,13.0,12.0,0.0,279.766488
0veh_lo,0,lo,1066.0,1051.0,13.0,14.0,0.0,19.32243667
0veh_lo,0,lo,1066.0,1102.0,13.0,14.0,0.0,19.32243667
0veh_lo,0,lo,1070.0,1158.0,13.0,14.0,0.0,49.5012396
0veh_lo,0,lo,1070.0,1273.0,13.0,14.0,0.0,49.5012396
0veh_lo,0,lo,1071.0,1110.0,13.0,12.0,0.0,163.63009
0veh_lo,0,lo,1087.0,1091.0,13.0,14.0,0.0,137.9212128
0veh_lo,0,lo,1090.0,969.0,13.0,12.0,563.6506174,0.0
0veh_lo,0,lo,1090.0,984.0,13.0,12.0,0.0,0.0
0veh_lo,0,lo,1090.0,1068.0,13.0,13.0,0.0,17.28270067
0veh_lo,0,lo,1090.0,1097.0,13.0,14.0,0.0,0.0
0veh_lo,0,lo,1090.0,1263.0,13.0,14.0,563.6506174,0.0
0veh_lo,0,lo,1092.0,1007.0,14.0,14.0,0.0,0.0
0veh_lo,0,lo,1092.0,1037.0,14.0,13.0,0.0,53.03969868
0veh_lo,0,lo,1092.0,1086.0,14.0,13.0,0.0,26.51984934
0veh_lo,0,lo,1092.0,1095.0,14.0,14.0,0.0,0.0
0veh_lo,0,lo,1092.0,1158.0,14.0,14.0,0.0,0.0
0veh_lo,0,lo,1092.0,1273.0,14.0,14.0,0.0,209.0671108
0veh_lo,0,lo,1093.0,1007.0,14.0,14.0,0.0,59.411887998
0veh_lo,0,lo,1094.0,1037.0,14.0,13.0,0.0,0.0
0veh_lo,0,lo,1097.0,1089.0,14.0,13.0,0.0,78.4314
0veh_lo,0,lo,1099.0,953.0,14.0,12.0,0.0,133.1714916
0veh_lo,0,lo,1099.0,995.0,14.0,14.0,0.0,14.76381092
0veh_lo,0,lo,1099.0,1094.0,14.0,14.0,0.0,133.1714916
0veh_lo,0,lo,1099.0,1632.0,14.0,12.0,0.0,116.3337168
0veh_lo,0,lo,1116.0,1559.0,13.0,12.0,0.0,121.07091564
0veh_lo,0,lo,1119.0,1051.0,13.0,14.0,0.0,19.32243667
0veh_lo,0,lo,1119.0,1102.0,13.0,14.0,0.0,19.32243667
0veh_lo,0,lo,1124.0,1007.0,13.0,14.0,0.0,23.401788998999997
0veh_lo,0,lo,1124.0,1051.0,13.0,14.0,0.0,0.0
0veh_lo,0,lo,1124.0,1094.0,13.0,14.0,0.0,15.601192666
0veh_lo,0,lo,1124.0,1102.0,13.0,14.0,0.0,7.800596333
0veh_lo,0,lo,1124.0,1188.0,13.0,14.0,0.0,0.0
0veh_lo,0,lo,1125.0,1069.0,13.0,13.0,0.0,101.15826
0veh_lo,0,lo,1125.0,1114.0,13.0,13.0,0.0,236.03593999999998
0veh_lo,0,lo,1128.0,965.0,13.0,12.0,0.0,40.427972
0veh_lo,0,lo,1128.0,1030.0,13.0,13.0,0.0,125.35512276
0veh_lo,0,lo,1141.0,1094.0,13.0,14.0,0.0,99.63266796
0veh_lo,0,lo,1152.0,1040.0,14.0,13.0,0.0,127.39682
0veh_lo,0,lo,1155.0,1032.0,14.0,13.0,0.0,10.43586467
0veh_lo,0,lo,1155.0,1051.0,14.0,14.0,552.7972966,0.0
0veh_lo,0,lo,1157.0,1808.0,14.0,16.0,0.0,31.202385332
0veh_lo,0,lo,1159.0,1007.0,14.0,14.0,146.0403116,0.0
0veh_lo,0,lo,1163.0,1051.0,14.0,14.0,552.7972966,0.0
0veh_lo,0,lo,1164.0,1573.0,14.0,12.0,0.0,22.0649472
0veh_lo,0,lo,1165.0,1051.0,14.0,14.0,0.0,74.705315
0veh_lo,0,lo,1168.0,1051.0,14.0,14.0,593.6166436999999,0.0
0veh_lo,0,lo,1259.0,1625.0,14.0,14.0,259.4593912,0.0
0veh_lo,0,lo,1276.0,1079.0,14.0,13.0,228.5984522,0.0
0veh_lo,0,lo,1284.0,1272.0,14.0,14.0,0.0,189.9108666
0veh_lo,0,lo,1387.0,1158.0,12.0,14.0,0.0,520.797138
0veh_lo,0,lo,1387.0,1188.0,12.0,14.0,0.0,520.797138
0veh_lo,0,lo,1394.0,1575.0,12.0,12.0,0.0,303.67948
0veh_lo,0,lo,1399.0,1576.0,12.0,12.0,0.0,0.0
0veh_lo,0,lo,1477.0,1452.0,14.0,14.0,0.0,121.3534712
0veh_lo,0,lo,1518.0,1519.0,14.0,14.0,363.8738118,0.0
0veh_lo,0,lo,1522.0,1545.0,14.0,14.0,0.0,58.341774
0veh_lo,0,lo,1523.0,1147.0,14.0,13.0,0.0,376.9538436
0veh_lo,0,lo,1532.0,1127.0,12.0,13.0,850.0,0.0
0veh_lo,0,lo,1535.0,1589.0,14.0,12.0,0.0,0.0
0veh_lo,0,lo,1535.0,1590.0,14.0,12.0,0.0,0.0
0veh_lo,0,lo,1538.0,1247.0,14.0,12.0,0.0,125.5634669
0veh_lo,0,lo,1577.0,1331.0,12.0,12.0,850.0,0.0
0veh_lo,0,lo,1590.0,1140.0,12.0,13.0,0.0,35.72937333
0veh_lo,0,lo,1590.0,1272.0,12.0,14.0,0.0,0.0
0veh_lo,0,lo,1590.0,1282.0,12.0,14.0,0.0,0.0
0veh_lo,0,lo,1620.0,1822.0,14.0,17.0,0.0,7.487665333
0veh_lo,0,lo,1620.0,1888.0,14.0,17.0,0.0,14.975330666
0veh_lo,0,lo,1622.0,1635.0,14.0,14.0,0.0,240.2291296
0veh_lo,0,lo,1625.0,1541.0,14.0,14.0,436.5888598,0.0
0veh_lo,0,lo,1661.0,1577.0,14.0,12.0,999.7236351,0.0
0veh_lo,0,lo,1685.0,1505.0,14.0,14.0,268.3729045,0.0
0veh_lo,0,lo,1705.0,995.0,16.0,14.0,0.0,736.8022768
0veh_lo,0,lo,1737.0,1775.0,16.0,16.0,0.0,242.5233568
0veh_lo,0,lo,1792.0,1918.0,17.0,17.0,0.0,39.852053999999995
0veh_lo,0,lo,1825.0,1580.0,17.0,12.0,0.0,77.50780656
0veh_lo,0,lo,1855.0,1794.0,17.0,17.0,849.9566062,0.0
0veh_lo,0,lo,1876.0,1875.0,17.0,17.0,0.0,0.0
0veh_lo,0,lo,1877.0,1875.0,17.0,17.0,0.0,0.0
0veh_lo,0,lo,1917.0,1809.0,17.0,16.0,0.0,337.1663848
0veh_lo,0,lo,1959.0,1983.0,16.0,16.0,0.0,158.8197702
0veh_lo,0,lo,1984.0,2067.0,16.0,16.0,0.0,265.252616
0veh_lo,0,lo,2043.0,2082.0,15.0,16.0,0.0,842.503168
0veh_lo,0,lo,2178.0,2098.0,16.0,16.0,0.0,357.6012504
0veh_lo,0,lo,2440.0,2153.0,20.0,17.0,336.5277208,0.0
0veh_lo,0,lo,2440.0,2768.0,20.0,20.0,1009.5831624,0.0
0veh_lo,0,lo,2674.0,2774.0,20.0,20.0,0.0,200.8232968
0veh_lo,0,lo,2745.0,2744.0,20.0,20.0,0.0,332.8478886
0veh_lo,0,lo,2803.0,2732.0,21.0,20.0,0.0,700.972928
0veh_lo,0,lo,2871.0,2907.0,21.0,21.0,0.0,0.0
0veh_lo,0,lo,2871.0,2931.0,21.0,21.0,0.0,464.22983
0veh_lo,0,lo,2900.0,2899.0,21.0,21.0,784.801543,0.0
0veh_lo,0,lo,2900.0,2970.0,21.0,21.0,784.801543,0.0
0veh_lo,0,lo,2908.0,2981.0,21.0,21.0,748.1805772,0.0
0veh_lo,0,lo,2931.0,2773.0,21.0,20.0,0.0,87.5732952
0veh_lo,0,lo,2960.0,2931.0,21.0,21.0,0.0,70.2988334
0veh_lo,0,lo,2960.0,2966.0,21.0,21.0,0.0,77.74911999999999
0veh_lo,0,lo,2960.0,2981.0,21.0,21.0,850.0,0.0
0veh_lo,0,lo,2963.0,2963.0,21.0,21.0,351.8102116,8.413385333
0veh_lo,0,lo,2963.0,2966.0,21.0,21.0,0.0,143.265135984
